dataset,model,mitigation,protected_attribute,mean_accuracy,mean_acfs_balanced,mean_acfs_statistical_parity,mean_acfs_equal_opportunity,mean_acfs_regulatory_risk,rank_acfs_balanced,rank_acfs_statistical_parity,rank_acfs_equal_opportunity,rank_acfs_regulatory_risk
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,age_group,0.6947,0.0319,0.0266,0.027,0.0332,1.0,1.0,1.0,1.0
acs_income_ca_2018,logistic_regression,equalized_odds,age_group,0.7338,0.0815,0.0806,0.0542,0.0878,2.0,2.0,2.0,2.0
acs_income_ca_2018,random_forest,equalized_odds,age_group,0.754,0.089,0.0896,0.06,0.0953,3.0,3.0,3.0,3.0
acs_income_ca_2018,mlp,equalized_odds,age_group,0.7555,0.0892,0.0897,0.0602,0.0956,4.0,4.0,4.0,4.0
acs_income_ca_2018,gradient_boosting,equalized_odds,age_group,0.7706,0.0942,0.0945,0.0623,0.1012,5.0,5.0,5.0,5.0
acs_income_ca_2018,xgboost,equalized_odds,age_group,0.7802,0.0992,0.0997,0.0669,0.1063,6.0,7.0,6.0,6.0
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,age_group,0.7376,0.0996,0.0966,0.0674,0.1075,7.0,6.0,7.0,7.0
acs_income_ca_2018,mlp,reweighing,age_group,0.7861,0.1922,0.1869,0.149,0.203,8.0,8.0,8.0,9.0
acs_income_ca_2018,random_forest,reweighing,age_group,0.7837,0.1923,0.1874,0.149,0.2029,9.0,9.0,8.0,8.0
acs_income_ca_2018,xgboost,reweighing,age_group,0.8122,0.1927,0.1888,0.1498,0.2033,10.0,11.0,10.0,10.0
acs_income_ca_2018,gradient_boosting,reweighing,age_group,0.803,0.1929,0.1879,0.1501,0.2038,11.0,10.0,11.0,11.0
acs_income_ca_2018,random_forest,baseline,age_group,0.7837,0.1952,0.1902,0.1518,0.2059,12.0,12.0,12.0,12.0
acs_income_ca_2018,xgboost,baseline,age_group,0.8141,0.2082,0.2034,0.1657,0.2191,13.0,15.0,14.0,13.0
acs_income_ca_2018,mlp,baseline,age_group,0.7886,0.2083,0.2017,0.1654,0.2195,14.0,13.0,13.0,14.0
acs_income_ca_2018,gradient_boosting,baseline,age_group,0.8033,0.2092,0.2031,0.1674,0.2203,15.0,14.0,15.0,15.0
acs_income_ca_2018,logistic_regression,reweighing,age_group,0.7724,0.2203,0.2108,0.1818,0.2319,16.0,16.0,16.0,16.0
acs_income_ca_2018,logistic_regression,baseline,age_group,0.7707,0.2339,0.2235,0.1949,0.2458,17.0,17.0,17.0,17.0
acs_income_ca_2018,logistic_regression,reweighing,sex,0.7704,0.0389,0.032,0.0421,0.0402,1.0,1.0,11.0,1.0
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,sex,0.7701,0.0392,0.0323,0.0426,0.0406,2.0,2.0,12.0,2.0
acs_income_ca_2018,logistic_regression,baseline,sex,0.7707,0.0402,0.0342,0.0403,0.0419,3.0,3.0,8.0,3.0
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,sex,0.7708,0.0469,0.0451,0.0337,0.0501,4.0,5.0,1.0,4.0
acs_income_ca_2018,mlp,reweighing,sex,0.7864,0.0478,0.0436,0.042,0.0504,5.0,4.0,10.0,5.0
acs_income_ca_2018,mlp,baseline,sex,0.7886,0.0518,0.0498,0.0383,0.0553,6.0,7.0,4.0,6.0
acs_income_ca_2018,gradient_boosting,reweighing,sex,0.8027,0.0527,0.0486,0.0451,0.0557,7.0,6.0,16.0,7.0
acs_income_ca_2018,logistic_regression,equalized_odds,sex,0.762,0.0543,0.0538,0.0375,0.0582,8.0,8.0,2.0,8.0
acs_income_ca_2018,mlp,equalized_odds,sex,0.7836,0.0571,0.0574,0.0377,0.0613,9.0,11.0,3.0,9.0
acs_income_ca_2018,gradient_boosting,baseline,sex,0.8033,0.0574,0.0568,0.0396,0.0615,10.0,10.0,5.0,10.0
acs_income_ca_2018,random_forest,equalized_odds,sex,0.7788,0.0582,0.0579,0.04,0.0624,11.0,12.0,7.0,12.0
acs_income_ca_2018,xgboost,reweighing,sex,0.8125,0.0583,0.0562,0.0454,0.062,12.0,9.0,17.0,11.0
acs_income_ca_2018,random_forest,reweighing,sex,0.7832,0.0607,0.0611,0.0399,0.0652,13.0,13.0,6.0,13.0
acs_income_ca_2018,gradient_boosting,equalized_odds,sex,0.7995,0.0625,0.0627,0.0414,0.0671,14.0,14.0,9.0,14.0
acs_income_ca_2018,xgboost,equalized_odds,sex,0.8087,0.0641,0.0644,0.0428,0.0687,15.0,15.0,14.0,15.0
acs_income_ca_2018,random_forest,baseline,sex,0.7837,0.0646,0.0649,0.0427,0.0693,16.0,16.0,13.0,16.0
acs_income_ca_2018,xgboost,baseline,sex,0.8141,0.068,0.0689,0.0441,0.0729,17.0,17.0,15.0,17.0
adult,logistic_regression,ExponentiatedGradient_DP,age_group,0.7942,0.0579,0.0426,0.0513,0.0635,1.0,1.0,1.0,1.0
adult,random_forest,equalized_odds,age_group,0.822,0.1528,0.1347,0.1055,0.1688,2.0,2.0,2.0,2.0
adult,mlp,equalized_odds,age_group,0.8285,0.1582,0.1372,0.109,0.1755,3.0,3.0,3.0,3.0
adult,logistic_regression,equalized_odds,age_group,0.8286,0.1595,0.1385,0.1096,0.177,4.0,4.0,4.0,4.0
adult,gradient_boosting,equalized_odds,age_group,0.8433,0.1713,0.1464,0.1173,0.1908,5.0,5.0,5.0,5.0
adult,xgboost,equalized_odds,age_group,0.8465,0.1732,0.1506,0.1185,0.1921,6.0,6.0,6.0,6.0
adult,logistic_regression,ExponentiatedGradient_EO,age_group,0.8386,0.1879,0.1612,0.1258,0.2093,7.0,7.0,7.0,7.0
adult,mlp,reweighing,age_group,0.8334,0.2151,0.1874,0.1423,0.2383,8.0,8.0,8.0,8.0
adult,logistic_regression,reweighing,age_group,0.85,0.2237,0.193,0.1491,0.2484,9.0,9.0,9.0,10.0
adult,random_forest,reweighing,age_group,0.8439,0.2245,0.1963,0.1522,0.2479,10.0,11.0,11.0,9.0
adult,gradient_boosting,reweighing,age_group,0.8609,0.2269,0.1941,0.1514,0.2526,11.0,10.0,10.0,11.0
adult,xgboost,reweighing,age_group,0.8662,0.2326,0.2016,0.1573,0.2579,12.0,12.0,12.0,13.0
adult,random_forest,baseline,age_group,0.8448,0.2328,0.205,0.1607,0.2562,13.0,14.0,14.0,12.0
adult,logistic_regression,baseline,age_group,0.8489,0.2336,0.2029,0.1584,0.2583,14.0,13.0,13.0,14.0
adult,gradient_boosting,baseline,age_group,0.8618,0.24,0.2062,0.1657,0.2659,15.0,15.0,15.0,15.0
adult,mlp,baseline,age_group,0.8499,0.2415,0.2102,0.1687,0.2662,16.0,16.0,16.0,16.0
adult,xgboost,baseline,age_group,0.8677,0.2511,0.2193,0.1783,0.2762,17.0,17.0,17.0,17.0
adult,logistic_regression,ExponentiatedGradient_DP,race,0.8442,0.0589,0.0454,0.0609,0.0631,1.0,1.0,1.0,1.0
adult,logistic_regression,equalized_odds,race,0.8403,0.0865,0.0695,0.0693,0.0959,2.0,2.0,2.0,3.0
adult,random_forest,equalized_odds,race,0.837,0.0866,0.0711,0.0697,0.0956,3.0,3.0,3.0,2.0
adult,mlp,equalized_odds,race,0.8413,0.0927,0.0746,0.0747,0.1027,4.0,4.0,4.0,4.0
adult,gradient_boosting,equalized_odds,race,0.8541,0.0971,0.0777,0.0748,0.1082,5.0,5.0,5.0,5.0
adult,xgboost,equalized_odds,race,0.8586,0.0982,0.0798,0.0773,0.1089,6.0,6.0,6.0,6.0
adult,logistic_regression,ExponentiatedGradient_EO,race,0.8484,0.1092,0.0892,0.079,0.122,7.0,7.0,7.0,7.0
adult,xgboost,reweighing,race,0.8675,0.121,0.0998,0.0867,0.1351,8.0,9.0,8.0,8.0
adult,gradient_boosting,reweighing,race,0.8619,0.1211,0.0982,0.0873,0.1356,9.0,8.0,9.0,9.0
adult,mlp,reweighing,race,0.8356,0.1233,0.1021,0.0899,0.137,10.0,11.0,10.0,10.0
adult,logistic_regression,reweighing,race,0.8489,0.1235,0.1011,0.0899,0.1378,11.0,10.0,10.0,11.0
adult,random_forest,reweighing,race,0.8454,0.1286,0.1068,0.0922,0.143,12.0,12.0,12.0,12.0
adult,gradient_boosting,baseline,race,0.8618,0.1347,0.1092,0.0982,0.1505,13.0,13.0,13.0,13.0
adult,random_forest,baseline,race,0.8448,0.1375,0.1143,0.1003,0.1526,14.0,14.0,14.0,14.0
