dataset,model,mitigation,protected_attribute,mean_di,frac_seeds_within_4_5_rule,n_seeds
acs_income_ca_2018,gradient_boosting,baseline,age_group,0.5705,0.0,30
acs_income_ca_2018,gradient_boosting,baseline,sex,0.8559,1.0,30
acs_income_ca_2018,gradient_boosting,equalized_odds,age_group,0.7535,0.0,30
acs_income_ca_2018,gradient_boosting,equalized_odds,sex,0.8376,0.9333,30
acs_income_ca_2018,gradient_boosting,reweighing,age_group,0.5894,0.0,30
acs_income_ca_2018,gradient_boosting,reweighing,sex,0.8963,1.0,30
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,age_group,0.955,1.0,30
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,sex,0.9566,1.0,30
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,age_group,0.74,0.0,30
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,sex,0.8886,1.0,30
acs_income_ca_2018,logistic_regression,baseline,age_group,0.5434,0.0,30
acs_income_ca_2018,logistic_regression,baseline,sex,0.9429,1.0,30
acs_income_ca_2018,logistic_regression,equalized_odds,age_group,0.7846,0.1667,30
acs_income_ca_2018,logistic_regression,equalized_odds,sex,0.8626,1.0,30
acs_income_ca_2018,logistic_regression,reweighing,age_group,0.5614,0.0,30
acs_income_ca_2018,logistic_regression,reweighing,sex,0.9558,1.0,30
acs_income_ca_2018,mlp,baseline,age_group,0.5709,0.0,30
acs_income_ca_2018,mlp,baseline,sex,0.8794,1.0,30
acs_income_ca_2018,mlp,equalized_odds,age_group,0.7712,0.0667,30
acs_income_ca_2018,mlp,equalized_odds,sex,0.8517,0.9667,30
acs_income_ca_2018,mlp,reweighing,age_group,0.5919,0.0,30
acs_income_ca_2018,mlp,reweighing,sex,0.9109,1.0,30
acs_income_ca_2018,random_forest,baseline,age_group,0.5902,0.0,30
acs_income_ca_2018,random_forest,baseline,sex,0.8326,1.0,30
acs_income_ca_2018,random_forest,equalized_odds,age_group,0.7731,0.1333,30
acs_income_ca_2018,random_forest,equalized_odds,sex,0.8526,1.0,30
acs_income_ca_2018,random_forest,reweighing,age_group,0.5945,0.0,30
acs_income_ca_2018,random_forest,reweighing,sex,0.8411,1.0,30
acs_income_ca_2018,xgboost,baseline,age_group,0.5724,0.0,30
acs_income_ca_2018,xgboost,baseline,sex,0.8222,0.8333,30
acs_income_ca_2018,xgboost,equalized_odds,age_group,0.7459,0.0,30
acs_income_ca_2018,xgboost,equalized_odds,sex,0.8364,0.8667,30
acs_income_ca_2018,xgboost,reweighing,age_group,0.5914,0.0,30
acs_income_ca_2018,xgboost,reweighing,sex,0.8696,1.0,30
adult,gradient_boosting,baseline,age_group,0.313,0.0,30
adult,gradient_boosting,baseline,race,0.61,0.0,30
adult,gradient_boosting,baseline,sex,0.2934,0.0,30
adult,gradient_boosting,equalized_odds,age_group,0.4924,0.0,30
adult,gradient_boosting,equalized_odds,race,0.7283,0.2333,30
adult,gradient_boosting,equalized_odds,sex,0.5595,0.0,30
adult,gradient_boosting,reweighing,age_group,0.3267,0.0,30
adult,gradient_boosting,reweighing,race,0.6437,0.0333,30
adult,gradient_boosting,reweighing,sex,0.5971,0.0,30
adult,logistic_regression,ExponentiatedGradient_DP,age_group,0.8749,0.9333,30
adult,logistic_regression,ExponentiatedGradient_DP,race,0.919,0.8333,30
adult,logistic_regression,ExponentiatedGradient_DP,sex,0.9189,1.0,30
adult,logistic_regression,ExponentiatedGradient_EO,age_group,0.4382,0.0,30
adult,logistic_regression,ExponentiatedGradient_EO,race,0.682,0.1,30
adult,logistic_regression,ExponentiatedGradient_EO,sex,0.5117,0.0,30
adult,logistic_regression,baseline,age_group,0.3327,0.0,30
adult,logistic_regression,baseline,race,0.5998,0.0,30
adult,logistic_regression,baseline,sex,0.3163,0.0,30
adult,logistic_regression,equalized_odds,age_group,0.5337,0.0,30
adult,logistic_regression,equalized_odds,race,0.7684,0.2667,30
adult,logistic_regression,equalized_odds,sex,0.6053,0.0,30
adult,logistic_regression,reweighing,age_group,0.3431,0.0,30
adult,logistic_regression,reweighing,race,0.6442,0.0333,30
adult,logistic_regression,reweighing,sex,0.5988,0.0,30
adult,mlp,baseline,age_group,0.3285,0.0,30
adult,mlp,baseline,race,0.5954,0.0,30
adult,mlp,baseline,sex,0.3159,0.0,30
adult,mlp,equalized_odds,age_group,0.5388,0.0,30
adult,mlp,equalized_odds,race,0.7529,0.3,30
adult,mlp,equalized_odds,sex,0.6051,0.0,30
adult,mlp,reweighing,age_group,0.3745,0.0,30
adult,mlp,reweighing,race,0.6516,0.0,30
adult,mlp,reweighing,sex,0.5735,0.0,30
adult,random_forest,ExponentiatedGradient_DP,sex,0.8493,0.8333,30
adult,random_forest,ExponentiatedGradient_EO,sex,0.3829,0.0,30
adult,random_forest,baseline,age_group,0.3543,0.0,30
adult,random_forest,baseline,race,0.6151,0.0,30
adult,random_forest,baseline,sex,0.3509,0.0,30
adult,random_forest,equalized_odds,age_group,0.5621,0.0,30
adult,random_forest,equalized_odds,race,0.7722,0.4,30
adult,random_forest,equalized_odds,sex,0.6272,0.0,30
adult,random_forest,reweighing,age_group,0.3617,0.0,30
adult,random_forest,reweighing,race,0.6324,0.0,30
adult,random_forest,reweighing,sex,0.4666,0.0,30
adult,xgboost,baseline,age_group,0.3113,0.0,30
adult,xgboost,baseline,race,0.601,0.0,30
adult,xgboost,baseline,sex,0.3116,0.0,30
adult,xgboost,equalized_odds,age_group,0.4942,0.0,30
adult,xgboost,equalized_odds,race,0.7341,0.2667,30
adult,xgboost,equalized_odds,sex,0.5655,0.0,30
adult,xgboost,reweighing,age_group,0.3246,0.0,30
adult,xgboost,reweighing,race,0.647,0.0333,30
adult,xgboost,reweighing,sex,0.5897,0.0,30
bank_uci,gradient_boosting,baseline,age_group,2.9522,0.0,30
bank_uci,gradient_boosting,baseline,job_group,0.827,0.6333,30
bank_uci,gradient_boosting,equalized_odds,age_group,1.4038,0.1667,30
bank_uci,gradient_boosting,equalized_odds,job_group,0.9556,0.9333,30
bank_uci,gradient_boosting,reweighing,age_group,2.6742,0.0,30
bank_uci,gradient_boosting,reweighing,job_group,0.8401,0.7667,30
bank_uci,logistic_regression,ExponentiatedGradient_DP,age_group,1.8291,0.0,30
bank_uci,logistic_regression,ExponentiatedGradient_DP,job_group,0.8168,0.6,30
bank_uci,logistic_regression,ExponentiatedGradient_EO,age_group,2.1842,0.0,30
bank_uci,logistic_regression,ExponentiatedGradient_EO,job_group,0.8419,0.7,30
bank_uci,logistic_regression,baseline,age_group,2.9196,0.0,30
bank_uci,logistic_regression,baseline,job_group,0.7779,0.4,30
bank_uci,logistic_regression,equalized_odds,age_group,1.3955,0.2,30
bank_uci,logistic_regression,equalized_odds,job_group,0.9544,0.9667,30
bank_uci,logistic_regression,reweighing,age_group,2.837,0.0,30
bank_uci,logistic_regression,reweighing,job_group,0.8012,0.5,30
bank_uci,mlp,baseline,age_group,3.0125,0.0,30
bank_uci,mlp,baseline,job_group,0.8166,0.5333,30
bank_uci,mlp,equalized_odds,age_group,1.383,0.1,30
bank_uci,mlp,equalized_odds,job_group,0.9523,0.9333,30
bank_uci,mlp,reweighing,age_group,2.3878,0.0,30
bank_uci,mlp,reweighing,job_group,0.8624,0.7,30
bank_uci,random_forest,ExponentiatedGradient_DP,age_group,1.8534,0.0,30
bank_uci,random_forest,ExponentiatedGradient_EO,age_group,2.263,0.0,30
bank_uci,random_forest,baseline,age_group,2.4625,0.0,30
bank_uci,random_forest,baseline,job_group,0.8178,0.7667,30
bank_uci,random_forest,equalized_odds,age_group,1.2597,0.4,30
bank_uci,random_forest,equalized_odds,job_group,0.9629,1.0,30
bank_uci,random_forest,reweighing,age_group,2.3932,0.0,30
bank_uci,random_forest,reweighing,job_group,0.8259,0.7,30
bank_uci,xgboost,baseline,age_group,3.023,0.0,30
bank_uci,xgboost,baseline,job_group,0.831,0.6333,30
bank_uci,xgboost,equalized_odds,age_group,1.3634,0.2667,30
bank_uci,xgboost,equalized_odds,job_group,0.9519,0.9333,30
bank_uci,xgboost,reweighing,age_group,2.7233,0.0,30
bank_uci,xgboost,reweighing,job_group,0.8534,0.8,30
