dataset,protected_attribute,model,mitigation,mean_accuracy,mean_cfs,mean_abs_spd
ACSIncome (CA 2018),age_group,XGBoost,Baseline,0.8141,0.2082,0.2094
ACSIncome (CA 2018),age_group,XGBoost,Reweighing,0.8122,0.1927,0.1967
ACSIncome (CA 2018),age_group,MLP,Reweighing,0.7861,0.1922,0.1923
ACSIncome (CA 2018),age_group,XGBoost,Equalized Odds,0.7802,0.0992,0.1121
ACSIncome (CA 2018),age_group,Gradient Boosting,Equalized Odds,0.7706,0.0942,0.1064
ACSIncome (CA 2018),age_group,MLP,Equalized Odds,0.7555,0.0892,0.1008
ACSIncome (CA 2018),age_group,Random Forest,Equalized Odds,0.754,0.089,0.101
ACSIncome (CA 2018),age_group,Logistic Regression,Equalized Odds,0.7338,0.0815,0.0888
ACSIncome (CA 2018),age_group,Logistic Regression,EG (Demographic Parity),0.6947,0.0319,0.019
ACSIncome (CA 2018),sex,XGBoost,Baseline,0.8141,0.068,0.0791
ACSIncome (CA 2018),sex,XGBoost,Reweighing,0.8125,0.0583,0.0568
ACSIncome (CA 2018),sex,Gradient Boosting,Baseline,0.8033,0.0574,0.0619
ACSIncome (CA 2018),sex,Gradient Boosting,Reweighing,0.8027,0.0527,0.0435
ACSIncome (CA 2018),sex,MLP,Baseline,0.7886,0.0518,0.0509
ACSIncome (CA 2018),sex,MLP,Reweighing,0.7864,0.0478,0.0379
ACSIncome (CA 2018),sex,Logistic Regression,EG (Equalized Odds),0.7708,0.0469,0.0466
ACSIncome (CA 2018),sex,Logistic Regression,Baseline,0.7707,0.0402,0.0231
ACSIncome (CA 2018),sex,Logistic Regression,Reweighing,0.7704,0.0389,0.018
Adult,age_group,XGBoost,Baseline,0.8677,0.2511,0.1862
Adult,age_group,XGBoost,Reweighing,0.8662,0.2326,0.1708
Adult,age_group,Gradient Boosting,Reweighing,0.8609,0.2269,0.1601
Adult,age_group,Logistic Regression,Reweighing,0.85,0.2237,0.1628
Adult,age_group,XGBoost,Equalized Odds,0.8465,0.1732,0.1279
Adult,age_group,Gradient Boosting,Equalized Odds,0.8433,0.1713,0.1191
Adult,age_group,Logistic Regression,Equalized Odds,0.8286,0.1595,0.1169
Adult,age_group,MLP,Equalized Odds,0.8285,0.1582,0.1155
Adult,age_group,Random Forest,Equalized Odds,0.822,0.1528,0.1177
Adult,age_group,Logistic Regression,EG (Demographic Parity),0.7942,0.0579,0.0166
Adult,race,XGBoost,Baseline,0.8677,0.1425,0.0835
Adult,race,XGBoost,Reweighing,0.8675,0.121,0.0723
Adult,race,XGBoost,Equalized Odds,0.8586,0.0982,0.0526
Adult,race,Gradient Boosting,Equalized Odds,0.8541,0.0971,0.0492
Adult,race,Logistic Regression,EG (Demographic Parity),0.8442,0.0589,0.0192
Adult,sex,XGBoost,Baseline,0.8677,0.2547,0.1752
Adult,sex,XGBoost,Reweighing,0.8633,0.1879,0.0877
Adult,sex,Gradient Boosting,Reweighing,0.8577,0.1844,0.0836
Adult,sex,Logistic Regression,Reweighing,0.8456,0.1803,0.0835
Adult,sex,Random Forest,Reweighing,0.8441,0.1802,0.1286
Adult,sex,XGBoost,Equalized Odds,0.843,0.1462,0.0994
Adult,sex,Gradient Boosting,Equalized Odds,0.837,0.1425,0.0896
Adult,sex,MLP,Equalized Odds,0.8265,0.1306,0.0892
Adult,sex,Random Forest,Equalized Odds,0.8199,0.1302,0.0891
Adult,sex,Random Forest,EG (Demographic Parity),0.8152,0.1214,0.0317
UCI Bank,age_group,Gradient Boosting,Baseline,0.9018,0.5433,0.0597
UCI Bank,age_group,Gradient Boosting,Reweighing,0.9015,0.459,0.0479
UCI Bank,age_group,Logistic Regression,EG (Equalized Odds),0.8982,0.3127,0.0259
UCI Bank,age_group,Logistic Regression,EG (Demographic Parity),0.896,0.2184,0.0131
UCI Bank,age_group,Gradient Boosting,Equalized Odds,0.8888,0.1172,0.0187
UCI Bank,age_group,Logistic Regression,Equalized Odds,0.8886,0.1124,0.0166
UCI Bank,age_group,MLP,Equalized Odds,0.8868,0.1109,0.0184
UCI Bank,age_group,XGBoost,Equalized Odds,0.8837,0.1051,0.02
UCI Bank,age_group,Random Forest,Equalized Odds,0.8663,0.0836,0.0212
UCI Bank,job_group,Gradient Boosting,Reweighing,0.902,0.0516,0.0076
UCI Bank,job_group,XGBoost,Reweighing,0.9008,0.0478,0.0076
UCI Bank,job_group,Gradient Boosting,Equalized Odds,0.8999,0.0301,0.0034
UCI Bank,job_group,MLP,Equalized Odds,0.8974,0.0298,0.0035
UCI Bank,job_group,Random Forest,Equalized Odds,0.8828,0.0279,0.0049
