run_block,dataset,dataset_variant,model,mitigation,protected_attribute,seed,n_rows,accuracy,precision,recall,f1,spd,di,eod,aod,cfs,acfs_balanced,runtime_seconds,status,error_message
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,42,32561,0.8475356978350991,0.7279936558287073,0.5854591836734694,0.6489925768822905,-0.1719635925122615,0.3134054364895052,-0.0710305174701458,-0.0733669420757307,0.2507389038921582,0.2507389038921582,0.4774631000000013,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,43,32561,0.8515277138031629,0.7402078337330136,0.5905612244897959,0.6569705569350834,-0.1573008214975168,0.3532861454802746,-0.0558932792975346,-0.061358070052216,0.2303165063417482,0.2303165063417482,0.329137700000004,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,44,32561,0.8518347919545525,0.7331786542923434,0.6045918367346939,0.6627053477804964,-0.1845888238269561,0.2868528700606141,-0.1456155098211446,-0.1108370662445838,0.2885471324580176,0.2885471324580176,0.3647168000000036,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,45,32561,0.8464609243052357,0.7187981510015409,0.5950255102040817,0.6510816468946268,-0.1748520728435361,0.318325815658029,-0.0990082139814502,-0.0858848791783317,0.2603548375863223,0.2603548375863223,0.3465905999999989,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,46,32561,0.8499923230462153,0.7369687249398557,0.5860969387755102,0.652930728241563,-0.1781604583556533,0.2904694245817593,-0.1087835788734417,-0.0908378048608854,0.2718281043770553,0.2718281043770553,0.4264968000000024,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,47,32561,0.8476892369107938,0.7318840579710145,0.579719387755102,0.6469750889679715,-0.1717816918348256,0.3047688235177039,-0.0655696833707304,-0.0705196795181927,0.2507755578015112,0.2507755578015112,0.3511529000000024,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,48,32561,0.8527560264087211,0.7354988399071926,0.6065051020408163,0.6648025166025864,-0.1772215641072623,0.310717199368721,-0.1276140875407885,-0.0964964377097882,0.2726537224972795,0.2726537224972795,0.3710941999999946,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,49,32561,0.8446184553968985,0.7332214765100671,0.5573979591836735,0.6333333333333334,-0.1409842245043482,0.3839297704561483,-0.0429013710747456,-0.0467007543620623,0.2116641448712519,0.2116641448712519,0.3004641999999933,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,50,32561,0.8484569322892677,0.7292817679558011,0.5892857142857143,0.6518518518518519,-0.1739501095554365,0.3129527694868987,-0.100886533604081,-0.0861602300167546,0.2620110259223434,0.2620110259223434,0.3144291999999993,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,51,32561,0.855980346998311,0.7464788732394366,0.6084183673469388,0.6704146170063247,-0.1809635404211902,0.2939987436482713,-0.0924133562271826,-0.0810313689210085,0.2651023804802775,0.2651023804802775,0.2792863000000025,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,52,32561,0.8512206356517734,0.7401764234161988,0.5886479591836735,0.6557726465364122,-0.1770441896510534,0.2893957616473714,-0.1244101335842493,-0.0926823734953849,0.276185233770829,0.276185233770829,0.2838117000000011,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,53,32561,0.8527560264087211,0.7457627118644068,0.5892857142857143,0.658354114713217,-0.173517617203861,0.2977507895233756,-0.1301387797852841,-0.0964064985607541,0.2755780265066309,0.2755780265066309,0.2935307000000051,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,54,32561,0.8519883310302472,0.7495867768595041,0.5784438775510204,0.6529877609791218,-0.1647374507128502,0.3134107392596939,-0.1343654141404033,-0.0959956877978829,0.2704219533478607,0.2704219533478607,0.289837900000002,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,55,32561,0.8526024873330262,0.7504118616144976,0.5809948979591837,0.6549245147375989,-0.1477199133662281,0.3774764953993802,-0.0265052518100898,-0.0416271944274654,0.2095939660511008,0.2095939660511008,0.3556138000000004,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,56,32561,0.8412405957316137,0.7099056603773585,0.5758928571428571,0.6359154929577464,-0.1684410945620784,0.3270026577014224,-0.0900151285930408,-0.0833197540851428,0.2536933298847099,0.2536933298847099,0.3864355999999986,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,57,32561,0.8498387839705205,0.7341269841269841,0.5899234693877551,0.6541725601131541,-0.1754821233778668,0.3001453861284529,-0.0464049845107167,-0.0597340435828148,0.2453689413357364,0.2453689413357364,0.3401099999999957,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,58,32561,0.8473821587594043,0.735632183908046,0.5714285714285714,0.6432160804020101,-0.1694278981780137,0.2978577927566584,-0.1075154730327144,-0.0836318080317786,0.2656793466214621,0.2656793466214621,0.291083399999998,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,59,32561,0.8403193612774451,0.7207357859531772,0.5497448979591837,0.6237337192474673,-0.1722815800012646,0.2875834568116447,-0.0763419296106313,-0.0750991694844533,0.2590348055711761,0.2590348055711761,0.2859660000000019,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,60,32561,0.8498387839705205,0.740228013029316,0.579719387755102,0.650214592274678,-0.1736141653815534,0.2924617129892229,-0.0740849809261722,-0.0725969422283307,0.2569585938867084,0.2569585938867084,0.2936282000000005,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,61,32561,0.8490710885920467,0.7415359207266722,0.5727040816326531,0.6462756387189637,-0.1652609347585812,0.3107065285283107,-0.0394796380090497,-0.0517471614897012,0.2364453014322554,0.2364453014322554,0.3056196,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,62,32561,0.8409335175802242,0.7091194968553459,0.5752551020408163,0.6352112676056338,-0.1713985218220899,0.3200255363779384,-0.0593232398444609,-0.0672764003182919,0.2444931564017261,0.2444931564017261,0.2935577000000009,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,63,32561,0.849531705819131,0.7405891980360065,0.5771683673469388,0.6487455197132617,-0.1770886540086406,0.2814033162895646,-0.1225960605110284,-0.1011136619233647,0.2798487650383673,0.2798487650383673,0.2813559999999953,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,64,32561,0.8532166436358053,0.7459807073954984,0.5918367346938775,0.6600284495021336,-0.1598742578116045,0.3454347069428747,-0.0453039777110237,-0.0561106798923499,0.2289635521180258,0.2289635521180258,0.2918562999999992,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,65,32561,0.8472286196837095,0.7327376116978067,0.5752551020408163,0.6445158985351912,-0.1558314203785717,0.3500364688483501,-0.0720118021585527,-0.0668902541829986,0.2361742519679432,0.2361742519679432,0.2938763999999949,success,
required,adult,kaggle_mirror_train_partition,logistic_regression,baseline,sex,66,32561,0.8524489482573315,0.7556866048862679,0.5720663265306123,0.651179673321234,-0.1588869403919854,0.3230237100290697,-0.0601873780178509,-0.0577713727774013,0.2384554952895419,0.2384554952895419,0.2741893999999973,success,
