run_block,dataset,model,mitigation,protected_attribute,seed,run_type
required,adult,logistic_regression,baseline,sex,42,main
required,adult,logistic_regression,baseline,sex,43,main
required,adult,logistic_regression,baseline,sex,44,main
required,adult,logistic_regression,baseline,sex,45,main
required,adult,logistic_regression,baseline,sex,46,main
required,adult,logistic_regression,baseline,sex,47,main
required,adult,logistic_regression,baseline,sex,48,main
required,adult,logistic_regression,baseline,sex,49,main
required,adult,logistic_regression,baseline,sex,50,main
required,adult,logistic_regression,baseline,sex,51,main
required,adult,logistic_regression,baseline,sex,52,main
required,adult,logistic_regression,baseline,sex,53,main
required,adult,logistic_regression,baseline,sex,54,main
required,adult,logistic_regression,baseline,sex,55,main
required,adult,logistic_regression,baseline,sex,56,main
required,adult,logistic_regression,baseline,sex,57,main
required,adult,logistic_regression,baseline,sex,58,main
required,adult,logistic_regression,baseline,sex,59,main
required,adult,logistic_regression,baseline,sex,60,main
required,adult,logistic_regression,baseline,sex,61,main
required,adult,logistic_regression,baseline,sex,62,main
required,adult,logistic_regression,baseline,sex,63,main
required,adult,logistic_regression,baseline,sex,64,main
required,adult,logistic_regression,baseline,sex,65,main
required,adult,logistic_regression,baseline,sex,66,main
required,adult,logistic_regression,baseline,sex,67,main
required,adult,logistic_regression,baseline,sex,68,main
required,adult,logistic_regression,baseline,sex,69,main
required,adult,logistic_regression,baseline,sex,70,main
required,adult,logistic_regression,baseline,sex,71,main
required,adult,logistic_regression,reweighing,sex,42,main
required,adult,logistic_regression,reweighing,sex,43,main
required,adult,logistic_regression,reweighing,sex,44,main
required,adult,logistic_regression,reweighing,sex,45,main
required,adult,logistic_regression,reweighing,sex,46,main
required,adult,logistic_regression,reweighing,sex,47,main
required,adult,logistic_regression,reweighing,sex,48,main
required,adult,logistic_regression,reweighing,sex,49,main
required,adult,logistic_regression,reweighing,sex,50,main
required,adult,logistic_regression,reweighing,sex,51,main
required,adult,logistic_regression,reweighing,sex,52,main
required,adult,logistic_regression,reweighing,sex,53,main
required,adult,logistic_regression,reweighing,sex,54,main
required,adult,logistic_regression,reweighing,sex,55,main
required,adult,logistic_regression,reweighing,sex,56,main
required,adult,logistic_regression,reweighing,sex,57,main
required,adult,logistic_regression,reweighing,sex,58,main
required,adult,logistic_regression,reweighing,sex,59,main
required,adult,logistic_regression,reweighing,sex,60,main
required,adult,logistic_regression,reweighing,sex,61,main
required,adult,logistic_regression,reweighing,sex,62,main
required,adult,logistic_regression,reweighing,sex,63,main
required,adult,logistic_regression,reweighing,sex,64,main
required,adult,logistic_regression,reweighing,sex,65,main
required,adult,logistic_regression,reweighing,sex,66,main
required,adult,logistic_regression,reweighing,sex,67,main
required,adult,logistic_regression,reweighing,sex,68,main
required,adult,logistic_regression,reweighing,sex,69,main
required,adult,logistic_regression,reweighing,sex,70,main
required,adult,logistic_regression,reweighing,sex,71,main
required,adult,logistic_regression,equalized_odds,sex,42,main
required,adult,logistic_regression,equalized_odds,sex,43,main
required,adult,logistic_regression,equalized_odds,sex,44,main
required,adult,logistic_regression,equalized_odds,sex,45,main
required,adult,logistic_regression,equalized_odds,sex,46,main
required,adult,logistic_regression,equalized_odds,sex,47,main
required,adult,logistic_regression,equalized_odds,sex,48,main
required,adult,logistic_regression,equalized_odds,sex,49,main
required,adult,logistic_regression,equalized_odds,sex,50,main
required,adult,logistic_regression,equalized_odds,sex,51,main
required,adult,logistic_regression,equalized_odds,sex,52,main
required,adult,logistic_regression,equalized_odds,sex,53,main
required,adult,logistic_regression,equalized_odds,sex,54,main
required,adult,logistic_regression,equalized_odds,sex,55,main
required,adult,logistic_regression,equalized_odds,sex,56,main
required,adult,logistic_regression,equalized_odds,sex,57,main
required,adult,logistic_regression,equalized_odds,sex,58,main
required,adult,logistic_regression,equalized_odds,sex,59,main
required,adult,logistic_regression,equalized_odds,sex,60,main
required,adult,logistic_regression,equalized_odds,sex,61,main
required,adult,logistic_regression,equalized_odds,sex,62,main
required,adult,logistic_regression,equalized_odds,sex,63,main
required,adult,logistic_regression,equalized_odds,sex,64,main
required,adult,logistic_regression,equalized_odds,sex,65,main
required,adult,logistic_regression,equalized_odds,sex,66,main
required,adult,logistic_regression,equalized_odds,sex,67,main
required,adult,logistic_regression,equalized_odds,sex,68,main
required,adult,logistic_regression,equalized_odds,sex,69,main
required,adult,logistic_regression,equalized_odds,sex,70,main
required,adult,logistic_regression,equalized_odds,sex,71,main
required,adult,random_forest,baseline,sex,42,main
required,adult,random_forest,baseline,sex,43,main
required,adult,random_forest,baseline,sex,44,main
required,adult,random_forest,baseline,sex,45,main
required,adult,random_forest,baseline,sex,46,main
