dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
acs_income_ca_2018,gradient_boosting,baseline,age_group,30,,0.8033233333333333,0.003933558828525549,0.20638303389595,0.006961841291105618,0.10616262259155132,0.013539682090479788,0.0946718578824033,0.0063100105662802905,0.429540766378528,0.011986121456361753,0.20918957018710818,0.008595824303500399,0.13573917145663486,0.008096030542099624,0.20918957018710818,0.008595824303500399,0.15918957018710822,0.008595824303500399
acs_income_ca_2018,gradient_boosting,baseline,sex,30,,0.8033233333333333,0.003933558828525549,0.06185646496687549,0.011043993713886917,0.013172683574893769,0.008154519746473212,0.010600657357637289,0.006424469855957521,0.14411512859450468,0.0235767848759367,0.0574362336234778,0.0065872502206671,0.028543268633135513,0.0031410392365346213,0.0574362336234778,0.0065872502206671,0.02140745147485164,0.0023557794274009663
acs_income_ca_2018,gradient_boosting,equalized_odds,age_group,30,,0.77057,0.004863527171891206,0.10638222740504653,0.009601627988252063,0.01536215896576761,0.0131240049831526,0.008461482254442883,0.005983447647972533,0.24647818815971884,0.019983074592345117,0.09417101419624398,0.009382193095898864,0.043401956208419,0.007483395559815752,0.09417101419624398,0.009382193095898864,0.04417101419624399,0.009382193095898862
acs_income_ca_2018,gradient_boosting,equalized_odds,sex,30,,0.7995133333333333,0.004502622479778023,0.07038595418751342,0.013214495226944992,0.01018467710629481,0.008742344116431076,0.00718670419446668,0.005990769191387149,0.1624075809813051,0.027978913787599095,0.06254122911739499,0.010636035387852776,0.02925244516275831,0.005918108721224567,0.06254122911739499,0.010636035387852776,0.0222209591065322,0.005451111748928431
acs_income_ca_2018,gradient_boosting,reweighing,age_group,30,,0.8030266666666666,0.00408427880210611,0.19386989919683753,0.008212650127970898,0.0866957108516131,0.013240717724444774,0.0805317253045361,0.007454873234390723,0.41057978667448136,0.01501419852306684,0.19291928050686705,0.010108666423760638,0.12036577845099555,0.00888626075147801,0.19291928050686705,0.010108666423760638,0.14291928050686709,0.01010866642376064
acs_income_ca_2018,gradient_boosting,reweighing,sex,30,,0.8027299999999999,0.003603078185911748,0.04349925433736347,0.011014591719262504,0.03447358689879495,0.010500451554537679,0.02910428723369634,0.007176634731598884,0.10371840985546671,0.024770213815900215,0.05269888458133037,0.006357803933086925,0.03569237615661826,0.0037004209956375466,0.05269888458133037,0.006357803933086925,0.02676928211746369,0.0027753157467281598
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,age_group,30,,0.6947266666666665,0.0052137043111091545,0.019032158204417407,0.010068403126609943,0.015800414354544327,0.010736512531110775,0.04727170614753593,0.010360083491062806,0.045464746243951026,0.02365366047743302,0.03189225623761217,0.005374722423323449,0.027368092902165887,0.0041331498174362515,0.03189225623761217,0.005374722423323449,0.020526069676624414,0.0030998623630771886
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_DP,sex,30,,0.7701199999999999,0.004397052304159832,0.018099194661200482,0.011098006904939601,0.04784539257368034,0.011971924520868168,0.0461905983740831,0.008945169874966187,0.044759790375773344,0.026897480873049568,0.03922374399618432,0.006750382464547286,0.03737839520298798,0.004723642217111003,0.03922374399618432,0.006750382464547286,0.028033796402240983,0.003542731662833252
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,age_group,30,,0.7375500000000001,0.004703538653191763,0.10263228100123098,0.011154713686790892,0.019457596945619604,0.013533423215047137,0.01624805335014404,0.009316612337389061,0.2599920985428536,0.02607409154308696,0.09958250745996206,0.013282959907896304,0.04611264376566487,0.010058547787976435,0.09958250745996206,0.013282959907896304,0.049582507459962066,0.013282959907896304
acs_income_ca_2018,logistic_regression,ExponentiatedGradient_EO,sex,30,,0.7708166666666667,0.0046885835912303005,0.04657422174676409,0.011726700090381816,0.013629997357513525,0.009276478598102088,0.01583629328462648,0.008919066401565432,0.11141373198279657,0.025634328970626518,0.04686356109292515,0.00674927767311833,0.025346837462968026,0.0037505431090824404,0.04686356109292515,0.00674927767311833,0.019010128097226024,0.00281290733181183
