dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,42,0.7644,0.06332044624258598,0.034836050125071405,[0.24536528],8.923782700000002,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,43,0.7576,0.045775212226841167,0.02012259908168479,[0.24971266],13.542009399999998,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,44,0.758,0.05179362155651529,0.027725578606590418,[0.24712834],14.9641102,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,45,0.7623,0.047496768777434195,0.006150005213341525,[0.24404182],11.465319300000004,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,46,0.7587,0.06821430414566176,0.013637822031982605,[0.2389859],13.4584641,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,47,0.7555,0.04557186575825284,0.026446145562656564,[0.25061037],13.035402699999992,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,48,0.7611,0.06533326926548766,0.024789946394763285,[0.24109674],12.188908400000003,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,49,0.763,0.05045545816198638,0.012287403340865088,[0.24572096],11.56044270000001,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,50,0.7607,0.057994987601375336,0.03236518207740091,[0.24616729],13.934055,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,51,0.7645,0.03472257801973272,0.006922111019474042,[0.25369639],16.811466499999995,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,52,0.7588,0.056893752469194425,0.012405471472408558,[0.24263752],26.768014900000026,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,53,0.7503,0.05804514193560506,0.026474337470647424,[0.24473544],16.780061999999987,success,
