analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,42,0.7716,0.03653487600112887,0.040382067247820674,0.2279604757907035,0.1432786356282446,0.2279604757907035,0.1432786356282446,0.26474341864216544,0.20168351845395238,0.13592386650624871,4,1882,0.04702079999999853,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,43,0.7667,0.042772982270016524,0.031059883880807382,0.22187822514721256,0.15485613925974084,0.22187822514721256,0.15485613925974084,0.2637621387621388,0.19082466129982334,0.13993640136306895,4,1848,0.041651999999999134,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,44,0.7708,0.014524287434765193,0.03348496895683417,0.2182350168529833,0.14352523267724704,0.2182350168529833,0.14352523267724704,0.2519634665593051,0.22080826150593602,0.151514012303486,4,1824,0.04154250000000559,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,45,0.7822,0.03061676262509727,0.020444131555242606,0.2061907756232953,0.1251972380875147,0.2061907756232953,0.1251972380875147,0.23713454401177061,0.18433408045299038,0.13597309767513585,4,1945,0.04681420000000003,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,46,0.7705,0.02470511905242978,0.03700042032477491,0.2169792435395541,0.11663944328177911,0.2169792435395541,0.11663944328177911,0.24565442660629305,0.19591212792000756,0.1383401374091407,4,1903,0.04196829999999352,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,47,0.7661,0.01680702349146912,0.03972457835593257,0.2196142722852658,0.14273415736123785,0.2196142722852658,0.14273415736123785,0.2401154401154401,0.2023598037915949,0.1412279858186038,4,1890,0.04060599999999681,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,48,0.7675,0.011222922234062627,0.03492069113852503,0.2235790916509351,0.14379120708588222,0.2235790916509351,0.14379120708588222,0.24441752507454595,0.20768465163084004,0.14927874764363577,4,1792,0.0418236999999948,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,49,0.7764,0.024917205108361706,0.03638384257475624,0.21549018868082714,0.14145550614548297,0.21549018868082714,0.14145550614548297,0.24816482453930108,0.2099963470008499,0.1282955816168756,4,1841,0.041999500000002854,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,50,0.7776,0.001901704790677583,0.06052354596844767,0.2218083254025755,0.15835225472594783,0.2218083254025755,0.15835225472594783,0.23289768483943243,0.21338960291578746,0.1403007172028421,4,1820,0.04302470000000369,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,51,0.7679,0.03343733580461128,0.04271459225318108,0.20018610709995316,0.1175272867767796,0.20018610709995316,0.1175272867767796,0.23520152586262127,0.18742996593624484,0.11860935822541337,4,1842,0.04400739999999814,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,52,0.7666,0.021553801696111208,0.03445858741754326,0.2182900233441985,0.14134884723120011,0.2182900233441985,0.14134884723120011,0.24509227839392722,0.22446549762661339,0.14971972184856153,4,1870,0.0454410999999979,success
