dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status,analysis_id,cross_label,intersectional,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells
adult,logistic_regression,baseline,42,0.8475356978350991,[0.2507389],0.1719635925122615,0.0710305174701458,0.0738640808324584,0.0646249770768384,0.1719635925122615,0.0710305174701458,0.1951713186616568,0.1664330456875027,0.0773658623585568,4,414,0.1801265999999999,success,adult_sex_race,sex x race,True,0.1719635925122615,0.0710305174701458,0.0738640808324584,0.0646249770768384,0.1951713186616568,0.1664330456875027,0.0773658623585568,4
adult,logistic_regression,baseline,43,0.8515277138031629,[0.23031651],0.1573008214975168,0.0558932792975346,0.0607664316411834,0.0346843902084695,0.1573008214975168,0.0558932792975346,0.1930111397641145,0.1957709251101321,0.0831139003334307,4,395,0.1295948000000004,success,adult_sex_race,sex x race,True,0.1573008214975168,0.0558932792975346,0.0607664316411834,0.0346843902084695,0.1930111397641145,0.1957709251101321,0.0831139003334307,4
adult,logistic_regression,baseline,44,0.8518347919545525,[0.28854713],0.1845888238269561,0.1456155098211446,0.0957464299318247,0.0288194444444443,0.1845888238269561,0.1456155098211446,0.2412608265448581,0.1999064765022212,0.0968036296273157,4,418,0.1665568999999997,success,adult_sex_race,sex x race,True,0.1845888238269561,0.1456155098211446,0.0957464299318247,0.0288194444444443,0.2412608265448581,0.1999064765022212,0.0968036296273157,4
adult,logistic_regression,baseline,45,0.8464609243052357,[0.26035484],0.1748520728435361,0.0990082139814502,0.0930010160779391,0.1359785142393837,0.1748520728435361,0.1359785142393837,0.2167844398475994,0.2640537984659031,0.0775555622087163,4,412,0.1313349999999999,success,adult_sex_race,sex x race,True,0.1748520728435361,0.0990082139814502,0.0930010160779391,0.1359785142393837,0.2167844398475994,0.2640537984659031,0.0775555622087163,4
adult,logistic_regression,baseline,46,0.8499923230462153,[0.2718281],0.1781604583556533,0.1087835788734417,0.1050462085550457,0.0512152777777777,0.1781604583556533,0.1087835788734417,0.226126100196294,0.1140007540452193,0.0907919551135631,4,455,0.1694488999999999,success,adult_sex_race,sex x race,True,0.1781604583556533,0.1087835788734417,0.1050462085550457,0.0512152777777777,0.226126100196294,0.1140007540452193,0.0907919551135631,4
adult,logistic_regression,baseline,47,0.8476892369107938,[0.25077556],0.1717816918348256,0.0655696833707304,0.0840623937132753,0.0257096576654879,0.1717816918348256,0.0655696833707304,0.2138887410431254,0.1235374149659863,0.0900377122845344,4,421,0.1340932999999999,success,adult_sex_race,sex x race,True,0.1717816918348256,0.0655696833707304,0.0840623937132753,0.0257096576654879,0.2138887410431254,0.1235374149659863,0.0900377122845344,4
adult,logistic_regression,baseline,48,0.8527560264087211,[0.27265372],0.1772215641072623,0.1276140875407885,0.0700089077485655,0.0037663282814599,0.1772215641072623,0.1276140875407885,0.206756078807384,0.1987829614604462,0.0681188538910797,4,397,0.1638258999999999,success,adult_sex_race,sex x race,True,0.1772215641072623,0.1276140875407885,0.0700089077485655,0.0037663282814599,0.206756078807384,0.1987829614604462,0.0681188538910797,4
adult,logistic_regression,baseline,49,0.8446184553968985,[0.21166414],0.1409842245043482,0.0429013710747456,0.0888376125035057,0.1244586536063306,0.1409842245043482,0.1244586536063306,0.2069904490957122,0.3208469055374593,0.069549902910116,4,399,0.1346745,success,adult_sex_race,sex x race,True,0.1409842245043482,0.0429013710747456,0.0888376125035057,0.1244586536063306,0.2069904490957122,0.3208469055374593,0.069549902910116,4
adult,logistic_regression,baseline,50,0.8484569322892677,[0.26201103],0.1739501095554365,0.100886533604081,0.0714664624996262,0.0201005025125629,0.1739501095554365,0.100886533604081,0.2081919019287069,0.2222222222222222,0.085993651291296,4,435,0.1886971000000006,success,adult_sex_race,sex x race,True,0.1739501095554365,0.100886533604081,0.0714664624996262,0.0201005025125629,0.2081919019287069,0.2222222222222222,0.085993651291296,4
adult,logistic_regression,baseline,51,0.855980346998311,[0.26510238],0.1809635404211902,0.0924133562271826,0.0909904672664862,0.0322024573629194,0.1809635404211902,0.0924133562271826,0.2217243264738045,0.1027914654177033,0.0836757404554014,4,420,0.1412108999999999,success,adult_sex_race,sex x race,True,0.1809635404211902,0.0924133562271826,0.0909904672664862,0.0322024573629194,0.2217243264738045,0.1027914654177033,0.0836757404554014,4
