dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,42,0.7616,0.06134057493422107,0.026933405305320512,[0.24445316],8.1869293,success,
acs_income_ca_2018,age_group,xgboost,DP,ExponentiatedGradient_DP,43,0.7606,0.04944974252469975,0.020902389551278877,[0.24783432],12.326598599999997,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,42,0.8049,0.1718959135896837,0.07186563754766517,[0.23160114],18.262331700000004,success,
acs_income_ca_2018,age_group,xgboost,EO,ExponentiatedGradient_EO,43,0.8091,0.16273300693194992,0.058000744452533004,[0.23015566],19.5551897,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,42,0.8533701827115001,0.021100704372392698,0.3133569217160549,[0.34620276],19.222902599999998,success,
adult,sex,xgboost,DP,ExponentiatedGradient_DP,43,0.8466144633809305,0.007605217105453976,0.3497973657548126,[0.37726574],23.62622299999998,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,42,0.8656533087670812,0.13005940079343098,0.02052189296771334,[0.14248094],23.38362460000002,success,
adult,sex,xgboost,EO,ExponentiatedGradient_EO,43,0.8661139259941655,0.10259018263736476,0.0685579196217494,[0.17710121],23.7312546,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,42,0.898154891964069,0.020689187330639673,0.012813415387922938,[0.07300988],17.842635300000012,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,43,0.9003398883224083,0.023554186802351766,0.040934959349593486,[0.04814626],16.0908862,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,42,0.9014323865015781,0.037222843803781776,0.015291177340033824,[0.03593663],20.341132500000015,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,43,0.902889050740471,0.04516939673419813,0.03410569105691058,[0.12166175],18.98872799999998,success,
