analysis,setting_id,dataset,protected_attribute,model,constraint,mitigation,seed,not_part_of_main_grid,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,42,True,0.8189774297558728,0.02713397237485546,0.015138585272903682,0.2288237622961486,12.585685100000001,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,43,True,0.8162137263933671,0.020537198646473853,0.019095527472173135,0.24353859378368142,11.2600871,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,44,True,0.8198986642100414,0.03218069981362848,0.04643962848297212,0.24079776399795186,8.806796900000002,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,45,True,0.820205742361431,0.023195753223183485,0.06789391052145877,0.2578503677775068,9.100287200000004,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,46,True,0.8180561953017043,0.024304940327055796,0.003957347177686199,0.23175795465851873,8.966258399999994,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,47,True,0.8168278826961461,0.029350137553756622,0.009625307421517126,0.22604494683574866,10.078784800000001,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,48,True,0.822815906648242,0.032395735759846556,0.0397626225641709,0.23668489901292722,8.857671600000003,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,49,True,0.8136035621065562,0.03533887486136114,0.026795730950608054,0.22184369873211018,9.160910000000001,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,50,True,0.8195915860586519,0.030678101720671175,0.007652654834007122,0.22220111723400585,8.850622099999995,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,51,True,0.8189774297558728,0.03261124928181841,0.018605344162410775,0.22649214717881874,9.329360399999999,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,52,True,0.8232765238753262,0.02004186018130724,0.04062518968133538,0.25231857387552303,9.147197200000008,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,53,True,0.828650391524643,0.046891669687453646,0.01581666412174887,0.2095227743458296,9.323175199999994,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,54,True,0.8198986642100414,0.032420685204278404,0.038221193585716684,0.22780253793374408,10.920798200000007,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,55,True,0.815599570090588,0.023874755882899446,0.00795107033639142,0.23302541806387844,9.211156700000004,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,56,True,0.8129894058037771,0.025504616098022903,0.025393440418752578,0.2379975917502625,10.551626599999992,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,57,True,0.8194380469829572,0.029050899349406828,0.07554228982777605,0.25304957828730174,9.0935858,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,58,True,0.8106863196683556,0.01060003889850436,0.031952965235173825,0.2591022414907108,12.477704500000016,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,59,True,0.8096115461384923,0.009274300286411769,0.039943539200633926,0.26291962023846704,10.834720199999992,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,60,True,0.8145247965607247,0.018872859362011468,0.03772923508357623,0.2526649104000744,8.989554699999985,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,61,True,0.8203592814371258,0.022729308624134442,0.022528152907069887,0.23841780420078854,9.960723299999984,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,62,True,0.8186703516044833,0.035801760428626095,0.054724111866969016,0.2351000083940039,9.28024210000001,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,63,True,0.8214340549669891,0.023809523809523808,0.035222978080120926,0.24361630135761914,9.31026300000002,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,64,True,0.8215875940426839,0.049700276977282756,0.04501466275659821,0.20365558395021796,9.885822400000023,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,65,True,0.8171349608475357,0.030394647965690302,0.044423290496588885,0.24123936388012698,10.167517500000002,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,66,True,0.8245048364808844,0.021636233529383347,0.009472196727998483,0.2367913021052873,9.463346599999994,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,67,True,0.8194380469829572,0.02836273605970227,0.01644125542019409,0.23409438550688086,11.393370600000026,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,68,True,0.8192845079072624,0.033479525375867125,0.030959624606816893,0.22989245538066336,11.809900400000004,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,69,True,0.8113004759711346,0.013826317098565244,0.02938107599124551,0.2558192910633429,9.408515800000032,success,
extra_eg_probe,adult_age_group,adult,age_group,xgboost,DP,ExponentiatedGradient_DP,70,True,0.8186703516044833,0.021872663177011004,0.043276327174632256,0.2512656049268668,9.34403119999996,success,
