protected_attribute,config_id,config_label,n_seeds,mean_accuracy,std_accuracy,mean_f1,mean_abs_spd,mean_abs_eod,mean_cfs,std_cfs,mean_runtime_seconds,mean_delta_accuracy_vs_default,mean_delta_cfs_vs_default
age_group,conservative,"conservative (d=4, lr=0.03, n=500, sub=0.8)",30,0.8669583909104867,0.0036857649817875968,0.6921328385362348,0.18191625485991827,0.06367730035527747,0.15250261217575825,0.010643447808989289,1.6743243100000162,-0.0007523414709043349,-0.004211533884870355
age_group,deeper,"deeper (d=7, lr=0.05, n=300)",30,0.8675469573673167,0.0038312343100367027,0.6978825147252274,0.18721727588681078,0.07187757883759717,0.15762037951118024,0.010998600133246201,1.2602865233333185,-0.00016377501407441504,0.0009062334505516282
age_group,default,default (main-grid),30,0.8677107323813911,0.003706625365148203,0.6975590729281317,0.1862281932053689,0.07052435755906336,0.1567141460606286,0.010547009335267149,1.0841815133333341,0.0,0.0
age_group,shallower,"shallower (d=3, lr=0.05, n=300)",30,0.863723834382517,0.0036232447405658394,0.6786672263219853,0.17471786732535804,0.05880887046481963,0.14828676354220185,0.01017350316853544,1.3098582266666616,-0.00398689799887404,-0.008427382518426764
race,conservative,"conservative (d=4, lr=0.03, n=500, sub=0.8)",30,0.8669583909104867,0.0036857649817875968,0.6921328385362348,0.08056597522509273,0.050138466358386855,0.19200617319485414,0.013641519095280592,2.2962677766666673,-0.0007523414709043349,-0.0010448950175187184
race,deeper,"deeper (d=7, lr=0.05, n=300)",30,0.8675469573673167,0.0038312343100367027,0.6978825147252274,0.08317113444594688,0.0522561161134423,0.19341098648452323,0.014650384120539803,1.8306389466666644,-0.00016377501407441504,0.0003599182721504066
race,default,default (main-grid),30,0.8677107323813911,0.003706625365148203,0.6975590729281317,0.08349287257269031,0.0530879020176765,0.19305106821237283,0.013535485182278399,1.002234569999998,0.0,0.0
race,shallower,"shallower (d=3, lr=0.05, n=300)",30,0.863723834382517,0.0036232447405658394,0.6786672263219853,0.07579790133470252,0.04993263318522456,0.19208049123327745,0.016459889493638694,1.2537607766666676,-0.00398689799887404,-0.0009705769790953833
sex,conservative,"conservative (d=4, lr=0.03, n=500, sub=0.8)",30,0.8669583909104867,0.0036857649817875968,0.6921328385362348,0.17212063638875383,0.08031109686910325,0.15739395342909168,0.010848722568363943,2.1371387633333314,-0.0007523414709043349,-0.0031437687989800205
sex,deeper,"deeper (d=7, lr=0.05, n=300)",30,0.8675469573673167,0.0038312343100367027,0.6978825147252274,0.1745295645905862,0.07897507242290497,0.16001098553571771,0.011305954402327472,1.607079886666665,-0.00016377501407441504,-0.0005267366923539777
sex,default,default (main-grid),30,0.8677107323813911,0.003706625365148203,0.6975590729281317,0.17524104981217517,0.08300356357675248,0.1605377222280717,0.01112614565929699,0.73709109,0.0,0.0
sex,shallower,"shallower (d=3, lr=0.05, n=300)",30,0.863723834382517,0.0036232447405658394,0.6786672263219853,0.1665369084417268,0.08979806832646736,0.15777905266041267,0.010491535742820463,1.0490555500000016,-0.00398689799887404,-0.0027586695676590075
